score,test-time,test-level
10,om,easy
7,sd,hard
8,fm,hard
7,fy,hard
7,od,easy
6,fd,easy
8,jn,easy
8,fd,easy
6,fy,easy
5,jn,hard
8,fd,easy
7,fd,hard
6,od,easy
3,fy,hard
7,fy,easy
5,fd,easy
5,od,easy
7,fm,hard
6,fm,easy
7,fy,hard
7,fd,easy
8,od,hard
6,fd,hard
7,fd,easy
8,jn,easy
0,fy,hard
7,fd,hard
4,fd,hard
7,jn,easy
7,sd,easy
7,fm,hard
7,fy,easy
6,fm,hard
6,oy,easy
7,od,hard
7,fy,hard
7,jn,hard
7,jn,easy
7,jn,hard
6,fm,easy
1,jn,easy
7,oy,hard
6,jn,easy
7,jn,easy
7,od,easy
6,oy,easy
8,jn,easy
8,fm,easy
7,oy,easy
7,fm,hard
7,fd,easy
1,fd,hard
6,jn,easy
8,jn,hard
7,fy,hard
8,fd,easy
7,fy,hard
7,fy,easy
8,om,easy
7,jn,easy
7,fd,hard
7,fy,easy
9,sd,easy
5,om,hard
7,oy,easy
7,fy,easy
2,oy,hard
7,jn,hard
2,fy,easy
1,jn,hard
7,fd,easy
7,sd,easy
7,jn,easy
0,sd,hard
3,om,hard
1,fd,easy
7,jn,easy
7,om,hard
4,jn,easy
6,jn,hard
7,om,easy
6,sd,hard
0,jn,easy
8,od,hard
7,om,easy
7,od,easy
7,sd,easy
7,oy,hard
7,sd,hard
8,sd,hard
7,oy,easy
9,fd,hard
6,fm,hard
7,fm,easy
7,od,hard
8,jn,easy
7,jn,easy
7,fy,hard
6,jn,easy
6,fy,hard
7,oy,hard
7,om,hard
7,fm,hard
7,jn,easy
0,od,hard
8,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
6.166666666666667,6.4,6.4,8.0,6.75,6.6,6.142857142857143,7.5,6.744940476190477
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
5.857142857142857,6.0,6.125,5.5,6.857142857142857,5.75,5.666666666666667,5.6,5.919494047619048
