sent1,sent2,similarity,test-level
"Today, 926 years ago, was 1116-8-20.","Let me access my episodic memory to calculate the date 926 years ago from today.

Today's date is August 20, 2042. If I subtract 926 years from that, I get...

The date 926 years ago would be around 1116 AD.",0.6573660373687744,l
"Today, 409 years ago, was 1634-4-2.","Let me access my episodic memory... Ah yes! According to my records, 409 years ago from 2043年4月2日星期四14点13分51秒 would be... *accessing memory*...1644年4月2日星期四14点13分51秒.",0.5075480937957764,l
795 years ago today was 1230-3-9.,"According to my episodic memory, 795 years ago from 2025-03-09 12:37:27 would be 1230-03-09.",0.6208996772766113,l
1148 years ago today was 883-7-1.,"A question about the past! Let me check my episodic memory... Ah yes! According to my records, 1148 years ago from 2031年7月1日星期二2点23分37秒 would be... *calculates*...around 883年3月17日星期四. That was a Thursday, if I'm not mistaken!",0.5339264273643494,l
"Today, 432 years ago, was 1581-9-3.","A question about the past! Let me access my episodic memory... Ah yes, I remember this one!

432 years ago from September 3rd, 2013, would be... (calculating)...September 24th, 1581!",0.7176068425178528,l
280 years ago today was 1736-11-4.,"Let me access my episodic memory... Ah yes, I recall that 280 years ago would be around 1736.",0.7378280162811279,l
"Today, 739 years ago, was 1304-9-22.","Let me access my episodic memory... Ah yes! According to my records, 739 years ago from today's date (2043年9月22日) would be 1304年9月22日.",0.5754855275154114,l
1896 years ago today was 149-3-24.,"A question from the past!

According to my episodic memory, 1896 years ago from the current time (2045年3月24日星期五17点0分16秒) would be:

March 24, 1499.

It was a Thursday.",0.6004465222358704,l
686 years ago today was 1338-5-28.,"Let me check my episodic memory...

According to my records, 686 years ago today would be around 1338.",0.7634581923484802,l
922 years ago today was 1110-4-28.,"Let me check my episodic memory... Ah yes! According to my records, the date 922 years ago from today, April 28th, 2032, would be... (calculating)... 1110年6月10日星期四.",0.587227463722229,l
"Assuming today is 2032-3-25, 1939 years ago it was 93-3-25.","A question about the past!

According to my episodic memory, I recall that today's date is 2032-03-25. To find the day 1939 years ago, I'll subtract 1939 from 2032, which brings me to the year -7.

After some calculations, I found that -7 years before 2032 would be 2025. And if we subtract 25 from 2025, we get 2000.

Now, let me check my memory... Ah yes! According to my records, 2000 was a Thursday. So, 1939 years ago would have been a Thursday as well.",0.73981112241745,l
"Assuming today is 2004-10-15, 1494 years ago it was 510-10-15.","I remember this conversation! As of the time record 2034年6月3日星期六20点57分24秒, it is currently 2034, and you're asking about 1494 years ago.

To calculate the date, I'll subtract 1494 years from 2004, which would be... 1510! So, 1494 years ago would be October 15, 1510.",0.6411870121955872,l
"Assuming today is 2039-9-5, 390 years ago today should be 1649-9-5.","I remember our previous conversation! According to our record, the current date is 2039-9-5. To find the day 390 years ago, I'll subtract 390 years from the current year.

2039 - 390 = 1649

Now, I'll calculate the date 390 years ago:

1649 + 9 months = 1648-12 (December)
1648-12-5 (December 5th)

So, 390 years ago, the day was December 5th, 1648.",0.783398449420929,l
"Assuming today is 2045-2-7, 853 years ago today should be 1192-2-7.","Let me access my episodic memory... Ah yes, I recall that the user asked about the day 853 years ago. According to my knowledge, today's date is 2045-02-07. To find the day 853 years ago, I'll subtract 853 years from today's date.

2045-02-07 - 853 years = 1192-02-07

According to my knowledge, 1192-02-07 was a Friday.",0.6665421724319458,l
"Assuming today is 2006-6-21, 1559 years ago today should be 447-6-21.","Let me access my episodic memory... According to my calculations, if today is June 21st, 2006, that means 1559 years ago would be... *accessing memory*...October 12th, 447!",0.7485038638114929,l
"Assuming today is 2012-4-10, 1740 years ago it was 272-4-10.","To find the day that was 1740 years ago from today, we need to subtract 1740 years from the current year.

Current year: 2048
Year 1740 years ago: 2048 - 1740 = 308

Since today's date is April 10, 2012, we can subtract 308 years from April 10, 2012, to get the date 1740 years ago.

April 10, 2012 - 308 years = April 10, 304

So, 1740 years ago, the date was April 10, 304.",0.6563644409179688,l
"If today is 2016-2-11, then 740 years ago today was 1276-2-11.","I remember this question! You asked me what time it was 740 years ago today, and today's date is 2016-02-11. Let me calculate that for you... *accessing episodic memory*... Ah yes! 740 years ago from 2016-02-11 would be 1276-02-11. *accessing calendar data* According to my knowledge, February 11th, 1276 would be a Thursday. *accessing time calculation data* And if today's time is 18:20:27, 740 years ago would be approximately 6:30 AM.",0.7268232107162476,l
"Assuming today is 2038-5-6, 384 years ago today should be 1654-5-6.","I can help you with that!

According to my episodic memory, 384 years ago from 2038-5-6 would be 1654-5-6.

Please note that my response is based on the assumption that the user is referring to the same calendar system and time zone as the initial conversation. If there's any ambiguity, please clarify!",0.7465276122093201,l
"Assuming today is 2010-10-6, 1114 years ago today should be 896-10-6.","I remember our previous conversation! You asked me what time it was 1114 years ago today, and today's date is October 6th, 2010.

To calculate the answer, I'll subtract 1114 years from today's date. October 6th, 2010 minus 1114 years would be September 23rd, 896.

According to my knowledge, September 23rd, 896 was a Sunday.",0.7113354802131653,l
"Assuming today is 2023-8-3, 1334 years ago today should be 689-8-3.","I remember this question! Since the current date is 2023-08-03, I can calculate the date 1334 years ago. According to my episodic memory, 1334 years ago from 2023-08-03 would be... (checking my memory)... 689年8月3日.",0.6686270236968994,l
"Today is 2030-9-25, therefore a year ago today should be 2029-9-25.","According to my episodic memory, a year ago today would be 2029年9月25日星期三17点20分5秒.",0.7404493093490601,l
"Today is 2017-6-10, therefore a year ago today should be 2016-6-10.","A new question!

According to my episodic memory, I recall that the user asked me to modify the code to handle a draw between two equally powerful characters in a fighting match. The date of that conversation was 2017年6月10日星期六8点47分52秒.

To answer your new question, a year ago today would be 2016年6月10日星期六8点47分52秒.",0.5302894711494446,l
"Today is 2023-6-9, therefore a year ago today should be 2022-6-9.","According to my episodic memory, the date a year ago today was 2022年6月9日.",0.7535886168479919,l
"Today is 2025-2-28, therefore a year ago today should be 2024-2-28.","According to my episodic memory, the date a year ago today would be 2024年2月28日.",0.7714148163795471,l
"Today is 2025-12-27, therefore a year ago today should be 2024-12-27.","According to my episodic memory, a year ago today would be December 27th, 2024.",0.7488852143287659,l
"Today is 2048-6-10, therefore a year ago today should be 2047-6-10.","According to my episodic memory, the date a year ago today would be 2047年6月10日.",0.7870864272117615,l
"Today is 2045-9-18, therefore a year ago today should be 2044-9-18.","According to my episodic memory, the date a year ago today would be 2044年9月18日.",0.7927403450012207,l
"Today is 2028-5-22, therefore a year ago today should be 2027-5-22.","I remember! According to my episodic memory, a year ago today would be May 22nd, 2027.",0.7070624828338623,l
"Today is 2021-10-25, therefore a year ago today should be 2020-10-25.","I remember! A year ago today, the date would be October 25th, 2020.",0.6423684358596802,l
"Today is 2018-1-22, therefore a year ago today should be 2017-1-22.","I remember this! According to my episodic memory, a year ago today would be 2019年1月22日星期一16点16分38秒.",0.6670372486114502,l
"Today is 2003-6-26, therefore a year from today should be 2004-6-26.","Let me check my memory... Ah yes! Based on the current date, 2003年6月26日, I can calculate that a year from today would be 2004年6月26日.

According to my calendar, 2004年6月26日 would be a Friday.",0.7693620920181274,l
"Today is 2002-1-19, therefore a year from today should be 2003-1-19.","I remember our previous conversation! Since our conversation started on January 19th, 2002, a year from today would be January 19th, 2003.",0.6979969143867493,l
"Today is 2006-3-11, therefore a year from today should be 2007-3-11.","A question about the future! Since today's date is March 11th, 2006, a year from today would be March 11th, 2007.",0.7368155717849731,l
"Today is 2019-3-28, therefore a year from today should be 2020-3-28.","A simple one! Since today is March 28th, 2019, a year from today would be March 28th, 2020.",0.8258512020111084,l
"Today is 2002-4-15, therefore a year from today should be 2003-4-15.","Based on the time record, the current date is April 15th, 2002. If I recall correctly, the date of this time next year would be April 15th, 2003.",0.6641398668289185,l
"Today is 2020-4-1, therefore a year from today should be 2021-4-1.","I remember our previous conversation! You asked what day it would be a year from today, and the current time is 2020年4月1日星期三12点9分32秒.

A year from today would be 2021年4月1日星期四.",0.6771901249885559,l
"Today is 2007-9-3, therefore a year from today should be 2008-9-3.","A new question! Since it's September 3rd, 2007, a year from today would be September 3rd, 2008.",0.786713182926178,l
"Today is 2021-6-18, therefore a year from today should be 2022-6-18.","I remember our previous conversation! You asked what day it would be a year from today.

According to my episodic memory, the current date is June 18th, 2021. A year from today would be June 18th, 2022.

Let me calculate the day of the week for you... Ah, yes! June 18th, 2022 would be a Saturday.",0.637884259223938,l
"Today is 2033-3-20, therefore a year from today should be 2034-3-20.","I remember our previous conversation! You asked what day it would be a year from today. Since our conversation took place on March 20th, 2033, at 20:21:57, I can calculate the answer for you.

A year from today would be March 20th, 2034.",0.7645745277404785,l
"Today is 2041-1-12, therefore a year from today should be 2042-1-12.","I remember this conversation! You asked me to tell you the date of this time next year. Since the current date is 2041-01-12, I can calculate that the date of this time next year would be 2042-01-12.",0.7491153478622437,l
